Record Date,Country,Currency,Country - Currency Description,Exchange Rate,Effective Date,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-06-30,Argentina,Peso,Argentina-Peso,365.5,2023-08-15,7,2023,3,2023,2,06,30
2023-06-30,Belarus,New Ruble,Belarus-New Ruble,3.265,2023-08-15,16,2023,3,2023,2,06,30
2023-06-30,Myanmar,Kyat,Myanmar-Kyat,2918.0,2023-08-15,107,2023,3,2023,2,06,30
2023-06-30,Russia,Ruble,Russia-Ruble,98.855,2023-08-15,129,2023,3,2023,2,06,30
2023-06-30,Syria,Pound,Syria-Pound,8585.0,2023-08-15,151,2023,3,2023,2,06,30
2023-06-30,Zambia,New Kwacha,Zambia-New Kwacha,19.4,2023-08-15,177,2023,3,2023,2,06,30
2023-06-30,Mauritania,Ouguiya,Mauritania-Ouguiya,37.88,2023-07-31,98,2023,3,2023,2,06,30
2023-06-30,Sierra Leone,Leone,Sierra Leone-Leone,22.25,2023-07-31,137,2023,3,2023,2,06,30
2023-06-30,Venezuela,Bolivar Soberano,Venezuela-Bolivar Soberano,28.385,2023-07-14,171,2023,3,2023,2,06,30
2023-06-30,Zimbabwe,RTGS,Zimbabwe-RTGS,4800.96,2023-07-14,179,2023,3,2023,2,06,30
2023-06-30,Afghanistan,Afghani,Afghanistan-Afghani,85.95,2023-06-30,1,2023,3,2023,2,06,30
2023-06-30,Albania,Lek,Albania-Lek,97.55,2023-06-30,2,2023,3,2023,2,06,30
2023-06-30,Algeria,Dinar,Algeria-Dinar,135.657,2023-06-30,3,2023,3,2023,2,06,30
2023-06-30,Angola,Kwanza,Angola-Kwanza,825.0,2023-06-30,4,2023,3,2023,2,06,30
2023-06-30,Antigua & Barbuda,E. Caribbean Dollar,Antigua & Barbuda-E. Caribbean Dollar,2.7,2023-06-30,5,2023,3,2023,2,06,30
2023-06-30,Argentina,Peso,Argentina-Peso,266.0,2023-06-30,6,2023,3,2023,2,06,30
2023-06-30,Armenia,Dram,Armenia-Dram,390.0,2023-06-30,8,2023,3,2023,2,06,30
2023-06-30,Australia,Dollar,Australia-Dollar,1.509,2023-06-30,9,2023,3,2023,2,06,30
2023-06-30,Azerbaijan,Manat,Azerbaijan-Manat,1.7,2023-06-30,10,2023,3,2023,2,06,30
2023-06-30,Bahamas,Dollar,Bahamas-Dollar,1.0,2023-06-30,11,2023,3,2023,2,06,30
2023-06-30,Bahrain,Dinar,Bahrain-Dinar,0.377,2023-06-30,12,2023,3,2023,2,06,30
2023-06-30,Bangladesh,Taka,Bangladesh-Taka,108.0,2023-06-30,13,2023,3,2023,2,06,30
2023-06-30,Barbados,Dollar,Barbados-Dollar,2.02,2023-06-30,14,2023,3,2023,2,06,30
2023-06-30,Belarus,New Ruble,Belarus-New Ruble,2.933,2023-06-30,15,2023,3,2023,2,06,30
2023-06-30,Belize,Dollar,Belize-Dollar,2.0,2023-06-30,17,2023,3,2023,2,06,30
2023-06-30,Benin,CFA Franc,Benin-CFA Franc,628.64,2023-06-30,18,2023,3,2023,2,06,30
2023-06-30,Bermuda,Dollar,Bermuda-Dollar,1.0,2023-06-30,19,2023,3,2023,2,06,30
2023-06-30,Bolivia,Boliviano,Bolivia-Boliviano,6.86,2023-06-30,20,2023,3,2023,2,06,30
2023-06-30,Bosnia,Marka,Bosnia-Marka,1.799,2023-06-30,21,2023,3,2023,2,06,30
2023-06-30,Botswana,Pula,Botswana-Pula,13.514,2023-06-30,22,2023,3,2023,2,06,30
2023-06-30,Brazil,Real,Brazil-Real,4.858,2023-06-30,23,2023,3,2023,2,06,30
2023-06-30,Brunei,Dollar,Brunei-Dollar,1.356,2023-06-30,24,2023,3,2023,2,06,30
2023-06-30,Bulgaria,Lev New,Bulgaria-Lev New,1.8,2023-06-30,25,2023,3,2023,2,06,30
